address,postal,city,lat,lon
151 Manor Rd E,M4S 1R7,Toronto,43.70412,-79.3890005
261 Keele St,M6P 2K1,Toronto,43.6614916,-79.46268669999999
104 Mayfield Ave,M6S 1K8,Toronto,43.6476958,-79.48405570000001
35 Marchmount Rd,M6G 2A8,Toronto,43.6740923,-79.4263299
198 St Clarens Ave,M6H 3W3,Toronto,43.6520737,-79.43937989999999
1697A St Clair Ave W,M6N 1J2,Toronto,43.6740971,-79.4591264
77 Roxborough St W,M5R 1T9,Toronto,43.6773167,-79.3934642
33 Mc Farland Ave,M6H 3M9,Toronto,43.67336,-79.4421457
48 Rochester Ave,M4N 1N8,Toronto,43.7243811,-79.3919701
150 Viella St,M6N 5C8,Toronto,43.6719023,-79.477774
89 Hallam St,M6H 1W7,Toronto,43.667348,-79.42984009999999
194 Rusholme Rd,M6H 2Y7,Toronto,43.65535209999999,-79.4292494
52 Kennedy Park Rd,M6P 3H3,Toronto,43.653295,-79.4740578
171 Chaplin Cres,M5P 1B1,Toronto,43.69912129999999,-79.4078112
402 Soudan Ave,M4S 1W9,Toronto,43.7073288,-79.3838701
76 Fraser Ave,M6K 3E1,Toronto,43.6378232,-79.4242302
24 Badgerow Ave,M4M 1V3,Toronto,43.6666453,-79.340769
1731 Bathurst St,M5P 3K4,Toronto,43.6987154,-79.4243405
74 Lascelles Blvd,M5P 2E2,Toronto,43.7015316,-79.40234490000002
980 Ossington Ave,M6G 3V6,Toronto,43.6682086,-79.4284467
238 Broadview Ave,M4M 2G7,Toronto,43.6624822,-79.351682
102 Benson Ave,M6G 2H8,Toronto,43.6797335,-79.4268747
78 Viella St,M6N 5C8,Toronto,43.6723721,-79.4750918
985R Dufferin St,M6H 4B2,Toronto,43.6589845,-79.43428349999999
85 Sorauren Ave,M6R 2E1,Toronto,43.6429248,-79.4418579
349 Wellesley St E,M4X 1H2,Toronto,43.668485,-79.3673073
276A George St,M5A 1Z4,Toronto,43.6570956,-79.3735813
304 Strathmore Blvd,M4J 1P8,Toronto,43.683903,-79.32605339999999
113 Maria St,M6P 1W5,Toronto,43.6663992,-79.4767129
673 Woodbine Ave,M4E 2J3,Toronto,43.6789117,-79.3098306
224 Howland Ave,M5R 3B6,Toronto,43.67277,-79.411681
139 Boardwalk Dr,M4L 3X9,Toronto,43.6667442,-79.305989
225 Redpath Ave,M4P 2K8,Toronto,43.7110514,-79.3937569
324 Gladstone Ave,M6J 3L6,Toronto,43.6521938,-79.4310689
1016 Ossington Ave,M6G 3V6,Toronto,43.66900039999999,-79.428755
1001 Gerrard St E,M4M 1Z4,Toronto,43.6684819,-79.33799429999999
34 Fairmount Cres,M4L 2H4,Toronto,43.6779184,-79.31370079999999
1134 Avenue Rd,M5N 2E6,Toronto,43.7092525,-79.41099659999999
95 Harbord St,M5S 1G4,Toronto,43.6626422,-79.40359579999999
150 Forest Hill Rd,M5P 2M9,Toronto,43.6951735,-79.4071876
10R Eastern Ave,M5A 1H1,Toronto,43.6531714,-79.3608445
340 High Park Ave,M6P 1Z5,Toronto,43.66524080000001,-79.4702592
15 Fitzgerald Mews,M4L 3X3,Toronto,43.6709509,-79.31290480000001
318 Richmond St W,M5V 0B4,Toronto,43.6489001,-79.39220499999999
900 St Clair Ave W,M6C 1C5,Toronto,43.6804244,-79.433555
89 Hamilton St,M4M 2C7,Toronto,43.6611729,-79.3515674
2 Kenneth Ave,M2N 6Z1,Toronto,43.7630501,-79.405076
130 Douglas Ave,M5M 1G6,Toronto,43.7251158,-79.4105816
227 Inglewood Dr,M4T 1H8,Toronto,43.6893189,-79.3800368
32 Bruyeres Mews,M5V 0G7,Toronto,43.63764200000001,-79.402063
207 Fairview Ave,M6P 3A6,Toronto,43.6633863,-79.4768426
63 Standish Ave,M4W 3B2,Toronto,43.6891407,-79.37082079999999
11 Manchester Ave,M6G 1V4,Toronto,43.6674977,-79.4261014
280 Greer Rd,M5M,Toronto,43.73243780000001,-79.4124673
266 Sumach St,M5A 3K2,Toronto,43.6626965,-79.3615758
33 Hagar Ave,M6N 3V1,Toronto,43.6701316,-79.4820072
39 Budgell Ter,M6S 1B3,Toronto,43.6423402,-79.476991
226 Old Forest Hill Rd,M6C 2H3,Toronto,43.7010747,-79.4327066
99 Highbourne Rd,M5P 2J5,Toronto,43.7004387,-79.40526059999999
439 Wellington St W,M5V 1E7,Toronto,43.6430723,-79.3965861
412 Dundas St W,M5T 1G7,Toronto,43.6537026,-79.3949511
69 Salem Ave,M6H 3C2,Toronto,43.6626043,-79.4321372
22 Cavendish St,M4E 1P1,Toronto,43.6777352,-79.29624310000001
57 Williamson Rd,M4E 1K6,Toronto,43.674008,-79.296303
153 Withrow Ave,M4K 1C8,Toronto,43.6708528,-79.34715589999999
1 MacKay Ave,M6H 3T3,Toronto,43.6769483,-79.4429846
354 Concord Ave,M6H 2P8,Toronto,43.6637164,-79.4278617
459 Delaware Ave,M6H 2V1,Toronto,43.6690793,-79.4308348
79 Vermont Ave,M6G 1X8,Toronto,43.67091560000001,-79.4184219
77 MacDonell Ave,M6R 2A4,Toronto,43.6427736,-79.438711
34 St Germain Ave,M5M 1V8,Toronto,43.7318494,-79.4053045
571 Clendenan Ave,M6P 2X8,Toronto,43.6668151,-79.4735305
378 Glen Manor Dr,M4E 2X9,Toronto,43.6794109,-79.2946716
33 Chicora Ave,M5R 1T7,Toronto,43.6758623,-79.3989555
642 Glebeholme Blvd,M4C 1V6,Toronto,43.6881187,-79.3146252
98L Curzon St,M4M 3B4,Toronto,43.6658424,-79.3334747
9 Princess St,M5A 4C8,Toronto,43.6483385,-79.3655674
23 Oakview Ave,M6P 3J3,Toronto,43.653836,-79.4721064
679 Soudan Ave,M4S 1X7,Toronto,43.7083184,-79.3777927
139 Glendale Ave,M6R 2T4,Toronto,43.6434698,-79.45123579999999
6 Randolph Ave,M6P 3L8,Toronto,43.6587936,-79.4504336
1040 Kingston Rd,M4E 1T4,Toronto,43.6809509,-79.2845992
109A Heath St W,M4V 1T5,Toronto,43.6888407,-79.40020580000001
64 Granby St,M5B 2J5,Toronto,43.66125299999999,-79.3799185
98 Eastwood Rd,M4L 2C8,Toronto,43.67400139999999,-79.3154768
19 Egan Ave,M4J 2Z2,Toronto,43.6713326,-79.3391279
2254 Bloor St W,M6S 3B4,Toronto,43.6510179,-79.4774985
32 Fairview Blvd,M4K 1L9,Toronto,43.6753714,-79.35555409999999
101A Niagara St,M5V 1C3,Toronto,43.6413287,-79.4038005
109 Riverdale Ave,M4K 1C2,Toronto,43.66966000000001,-79.3483612
214 Lawrence Ave W,M5M 1A8,Toronto,43.723318,-79.411549
231 Kenilworth Ave,M4L 3S7,Toronto,43.6733449,-79.30331149999999
624 Queen St W,M6J 1E4,Toronto,43.6470079,-79.4055594
88 Crescent Rd,M4W 1T5,Toronto,43.6782425,-79.38395249999999
19 Cardiff Rd,M4P 2N6,Toronto,43.71081820000001,-79.3832687
2276 Bloor St W,M6S 1N9,Toronto,43.6509054,-79.478409
7 Fairleigh Cres,M6C 3R7,Toronto,43.6989629,-79.4382809
103 Wychcrest Ave,M6G 3X8,Toronto,43.6725044,-79.4258282
31 Parkside Dr,M6R 2Y7,Toronto,43.6406256,-79.4542372
3152A Dundas St W,M6P 2A1,Toronto,43.6657059,-79.4749851
9 Belsize Dr,M4S 1L3,Toronto,43.7003592,-79.3959392
57 Palmerston Ave,M6J 2J2,Toronto,43.6490366,-79.4071665
72 Ferrier Ave,M4K 3H4,Toronto,43.6802962,-79.3493324
243 Avenue Rd,M5R 2J6,Toronto,43.6769577,-79.3972162
109 Bowood Ave,M4N 1Y3,Toronto,43.72908,-79.3996801
839 Carlaw Ave,M4K 3L1,Toronto,43.6802388,-79.3478098
330 Rhodes Ave,M4L 3A3,Toronto,43.6741958,-79.3212681
59 Deforest Rd,M6S 1J3,Toronto,43.6483399,-79.47676349999999
699A Craven Rd,M4L 2Z7,Toronto,43.6754628,-79.3222909
10 Rosehill Ave,M4T 1G5,Toronto,43.68655709999999,-79.3926826
73 Maclean Ave,M4E 2Z8,Toronto,43.670808,-79.29029179999999
70 Herbert Ave,M4L 3P9,Toronto,43.6715238,-79.305955
28A Givins St,M6J 2X7,Toronto,43.645471,-79.41811799999999
44 Unsworth Ave,M5M 3C5,Toronto,43.725701,-79.4052729
118 Drayton Ave,M4C 3L9,Toronto,43.6820831,-79.3195345
239 Seaton St,M5A 2T5,Toronto,43.6604489,-79.3700559
130 Braemar Ave,M5P 2L4,Toronto,43.7037996,-79.4095516
265 Lappin Ave,M6H 1Y9,Toronto,43.6646788,-79.446182
106 Lamb Ave,M4J 4M6,Toronto,43.6807196,-79.3289084
12 Bonnycastle St,M5A 3Y4,Toronto,43.6460991,-79.3651362
64 Douro St,M6K 3N4,Toronto,43.6408533,-79.4153771
377 Kingswood Rd,M4E 3P2,Toronto,43.6832177,-79.2869563
40 Fielding Ave,M4J 1R5,Toronto,43.6821214,-79.33874730000001
2561 Dundas St W,M6P 1X6,Toronto,43.6621662,-79.4557724
32 Coulson Ave,M4V 1Y5,Toronto,43.6905922,-79.4126704
74 Edith Dr,M4R 1Z2,Toronto,43.7079117,-79.4038331
625 Gladstone Ave,M6H 3J3,Toronto,43.6628932,-79.4350388
70 St David St,M5A 3H6,Toronto,43.6589738,-79.36236819999999
158 Jones Ave,M4M 3A3,Toronto,43.6671326,-79.33486239999999
586 Symington Ave,M6N 4Y4,Toronto,43.67117409999999,-79.4538872
121 Colbeck St,M6S 1V3,Toronto,43.6537322,-79.4816239
14 Prince Arthur Ave,M5R 1A9,Toronto,43.6700458,-79.39582759999999
170 Dunn Ave,M6K 2R6,Toronto,43.63730899999999,-79.433425
568 Symington Ave,M6N 4Y4,Toronto,43.67134960000001,-79.4540674
7 Manning Ave,M6J 2K3,Toronto,43.6468366,-79.4086863
845 Manning Ave,M6G 2X1,Toronto,43.6695675,-79.4179231
31 Old Park Rd,M6C 3H8,Toronto,43.7025505,-79.4318625
998A Dovercourt Rd,M6H 2X8,Toronto,43.6672871,-79.4319838
